x,y,center_x,center_y,hexbin_id,hex_attempts,hex_pct,hex_points_scored,hex_points_per_shot,zone_range,name_zone,zone_attempts,zone_pct,zone_points_scored,zone_points_per_shot,league_pct,league_pps,slug_season,streak_col,radius_factor,adj_x,adj_y,bounded_fg_diff,bounded_fg_pct,bounded_points_per_shot
14.249998999999999,22.717621392718744,14.999998999999999,22.284608690826524,555,1,0,0,0,16-24 ft.,Right Side Center,37,0.43243243243243246,32,0.8648648648648649,0.38575430172068825,0.77,2015-2021,3+ Makes,0.4469871512778951,-14.664758636541578,22.478159804912472,0.046678130711744203,0.43243243243243246,0.8648648648648649
14.999998999999999,23.15063409461096,14.999998999999999,22.284608690826524,555,1,0,0,0,16-24 ft.,Right Side Center,37,0.43243243243243246,32,0.8648648648648649,0.38575430172068825,0.77,2015-2021,3+ Makes,0.4469871512778951,-14.999998999999999,22.671710918998418,0.046678130711744203,0.43243243243243246,0.8648648648648649
17.249999,22.717621392718744,16.499999,22.284608690826524,556,1,0,0,0,24+ ft.,Right Side Center,107,0.5327102803738317,171,1.5981308411214954,0.3522262185290835,1.06,2015-2021,3+ Makes,0.4469871512778951,-16.83523936345842,22.478159804912472,0.15,0.5327102803738317,1.5
17.249999,21.851595988934303,16.499999,22.284608690826524,556,1,0,0,0,24+ ft.,Right Side Center,107,0.5327102803738317,171,1.5981308411214954,0.3522262185290835,1.06,2015-2021,3+ Makes,0.4469871512778951,-16.83523936345842,22.091057576740575,0.15,0.5327102803738317,1.5
16.499999,21.418583287042086,16.499999,22.284608690826524,556,1,0,0,0,24+ ft.,Right Side Center,107,0.5327102803738317,171,1.5981308411214954,0.3522262185290835,1.06,2015-2021,3+ Makes,0.4469871512778951,-16.499999,21.89750646265463,0.15,0.5327102803738317,1.5
15.749998999999999,21.851595988934303,16.499999,22.284608690826524,556,1,0,0,0,24+ ft.,Right Side Center,107,0.5327102803738317,171,1.5981308411214954,0.3522262185290835,1.06,2015-2021,3+ Makes,0.4469871512778951,-16.164758636541578,22.091057576740575,0.15,0.5327102803738317,1.5
15.749998999999999,22.717621392718744,16.499999,22.284608690826524,556,1,0,0,0,24+ ft.,Right Side Center,107,0.5327102803738317,171,1.5981308411214954,0.3522262185290835,1.06,2015-2021,3+ Makes,0.4469871512778951,-16.164758636541578,22.478159804912472,0.15,0.5327102803738317,1.5
16.499999,23.15063409461096,16.499999,22.284608690826524,556,1,0,0,0,24+ ft.,Right Side Center,107,0.5327102803738317,171,1.5981308411214954,0.3522262185290835,1.06,2015-2021,3+ Makes,0.4469871512778951,-16.499999,22.671710918998418,0.15,0.5327102803738317,1.5
18.749999,22.717621392718744,17.999999,22.284608690826524,557,5,0.4,6,1.2,24+ ft.,Right Side Center,107,0.5327102803738317,171,1.5981308411214954,0.3522262185290835,1.06,2015-2021,3+ Makes,0.7592043991772447,-18.569402299382933,22.613353839002723,0.15,0.5327102803738317,1.5
18.749999,21.851595988934303,17.999999,22.284608690826524,557,5,0.4,6,1.2,24+ ft.,Right Side Center,107,0.5327102803738317,171,1.5981308411214954,0.3522262185290835,1.06,2015-2021,3+ Makes,0.7592043991772447,-18.569402299382933,21.955863542650324,0.15,0.5327102803738317,1.5
17.999999,21.418583287042086,17.999999,22.284608690826524,557,5,0.4,6,1.2,24+ ft.,Right Side Center,107,0.5327102803738317,171,1.5981308411214954,0.3522262185290835,1.06,2015-2021,3+ Makes,0.7592043991772447,-17.999999,21.627118394474127,0.15,0.5327102803738317,1.5
17.249999,21.851595988934303,17.999999,22.284608690826524,557,5,0.4,6,1.2,24+ ft.,Right Side Center,107,0.5327102803738317,171,1.5981308411214954,0.3522262185290835,1.06,2015-2021,3+ Makes,0.7592043991772447,-17.430595700617065,21.955863542650324,0.15,0.5327102803738317,1.5
17.249999,22.717621392718744,17.999999,22.284608690826524,557,5,0.4,6,1.2,24+ ft.,Right Side Center,107,0.5327102803738317,171,1.5981308411214954,0.3522262185290835,1.06,2015-2021,3+ Makes,0.7592043991772447,-17.430595700617065,22.613353839002723,0.15,0.5327102803738317,1.5
17.999999,23.15063409461096,17.999999,22.284608690826524,557,5,0.4,6,1.2,24+ ft.,Right Side Center,107,0.5327102803738317,171,1.5981308411214954,0.3522262185290835,1.06,2015-2021,3+ Makes,0.7592043991772447,-17.999999,22.94209898717892,0.15,0.5327102803738317,1.5
20.249999,22.717621392718744,19.499999,22.284608690826524,558,5,0.4,6,1.2,24+ ft.,Right Side Center,107,0.5327102803738317,171,1.5981308411214954,0.3522262185290835,1.06,2015-2021,3+ Makes,0.7592043991772447,-20.069402299382933,22.613353839002723,0.15,0.5327102803738317,1.5
20.249999,21.851595988934303,19.499999,22.284608690826524,558,5,0.4,6,1.2,24+ ft.,Right Side Center,107,0.5327102803738317,171,1.5981308411214954,0.3522262185290835,1.06,2015-2021,3+ Makes,0.7592043991772447,-20.069402299382933,21.955863542650324,0.15,0.5327102803738317,1.5
19.499999,21.418583287042086,19.499999,22.284608690826524,558,5,0.4,6,1.2,24+ ft.,Right Side Center,107,0.5327102803738317,171,1.5981308411214954,0.3522262185290835,1.06,2015-2021,3+ Makes,0.7592043991772447,-19.499999,21.627118394474127,0.15,0.5327102803738317,1.5
18.749999,21.851595988934303,19.499999,22.284608690826524,558,5,0.4,6,1.2,24+ ft.,Right Side Center,107,0.5327102803738317,171,1.5981308411214954,0.3522262185290835,1.06,2015-2021,3+ Makes,0.7592043991772447,-18.930595700617065,21.955863542650324,0.15,0.5327102803738317,1.5
18.749999,22.717621392718744,19.499999,22.284608690826524,558,5,0.4,6,1.2,24+ ft.,Right Side Center,107,0.5327102803738317,171,1.5981308411214954,0.3522262185290835,1.06,2015-2021,3+ Makes,0.7592043991772447,-18.930595700617065,22.613353839002723,0.15,0.5327102803738317,1.5
19.499999,23.15063409461096,19.499999,22.284608690826524,558,5,0.4,6,1.2,24+ ft.,Right Side Center,107,0.5327102803738317,171,1.5981308411214954,0.3522262185290835,1.06,2015-2021,3+ Makes,0.7592043991772447,-19.499999,22.94209898717892,0.15,0.5327102803738317,1.5
